CDL-B	9	5	100.00
CDL-B	1	5	100.00
CDL-B	8	5	100.00
CDL-B	7	5	100.00
CDL-B	6	6	100.00
CDL-B	5	6	100.00
CDL-B	4	6	100.00
CDL-B	3	6	100.00
CDL-B	2	6	100.00
CDL-B	12	6	100.00
CDL-B	11	6	100.00
CDL-B	10	6	100.00
CDL-B	9	6	100.00
CDL-B	1	6	98.35
CDL-B	8	6	100.00
CDL-B	7	6	100.00
CDL-B	5	7	100.00
CDL-B	6	7	100.00
CDL-B	4	7	100.00
CDL-B	3	7	100.00
CDL-B	2	7	100.00
CDL-B	9	7	100.00
CDL-B	1	7	91.10
CDL-B	11	7	100.00
CDL-B	12	7	100.00
CDL-B	10	7	100.00
CDL-B	8	7	100.00
CDL-B	7	7	100.00
CDL-B	5	8	100.00
CDL-B	6	8	100.00
CDL-B	4	8	100.00
CDL-B	3	8	100.00
CDL-B	2	8	100.00
CDL-B	1	8	92.10
CDL-B	9	8	100.00
CDL-B	11	8	100.00
CDL-B	10	8	100.00
CDL-B	12	8	100.00
CDL-B	8	8	100.00
CDL-B	7	8	100.00
CDL-B	5	9	100.00
CDL-B	4	9	100.00
CDL-B	6	9	100.00
CDL-B	3	9	100.00
CDL-B	2	9	100.00
CDL-B	1	9	95.00
CDL-B	9	9	100.00
CDL-B	11	9	100.00
CDL-B	10	9	100.00
CDL-B	8	9	100.00
CDL-B	12	9	100.00
CDL-B	7	9	100.00
CDL-B	5	10	100.00
CDL-B	4	10	100.00
CDL-B	6	10	100.00
CDL-B	3	10	100.00
CDL-B	2	10	100.00
CDL-B	1	10	97.15
CDL-B	9	10	100.00
CDL-B	11	10	100.00
CDL-B	8	10	100.00
CDL-B	10	10	100.00
CDL-B	12	10	100.00
CDL-B	7	10	100.00
CDL-C	6	0	100.00
CDL-C	5	0	100.00
CDL-C	4	0	100.00
CDL-C	3	0	100.00
CDL-C	2	0	100.00
CDL-C	12	0	100.00
CDL-C	11	0	100.00
CDL-C	10	0	100.00
CDL-C	9	0	100.00
CDL-C	1	0	100.00
CDL-C	8	0	100.00
CDL-C	7	0	100.00
CDL-C	6	1	100.00
CDL-C	5	1	100.00
CDL-C	4	1	100.00
CDL-C	3	1	100.00
CDL-C	2	1	100.00
CDL-C	12	1	100.00
CDL-C	11	1	100.00
CDL-C	10	1	100.00
CDL-C	9	1	100.00
CDL-C	1	1	100.00
CDL-C	8	1	100.00
CDL-C	7	1	100.00
CDL-C	6	2	100.00
CDL-C	5	2	100.00
CDL-C	4	2	100.00
CDL-C	3	2	100.00
CDL-C	2	2	100.00
CDL-C	12	2	100.00
CDL-C	11	2	100.00
CDL-C	10	2	100.00
CDL-C	9	2	100.00
CDL-C	1	2	98.95
CDL-C	8	2	100.00
CDL-C	7	2	100.00
CDL-C	6	3	100.00
CDL-C	5	3	100.00
CDL-C	4	3	100.00
CDL-C	3	3	100.00
CDL-C	2	3	94.05
CDL-C	12	3	100.00
CDL-C	11	3	100.00
CDL-C	10	3	100.00
CDL-C	9	3	100.00
CDL-C	1	3	22.60
CDL-C	8	3	100.00
CDL-C	7	3	100.00
CDL-C	5	4	100.00
CDL-C	6	4	100.00
CDL-C	4	4	100.00
CDL-C	3	4	100.00
CDL-C	2	4	92.30
CDL-C	11	4	100.00
CDL-C	12	4	100.00
CDL-C	9	4	100.00
CDL-C	10	4	100.00
CDL-C	1	4	0.05
CDL-C	8	4	100.00
CDL-C	7	4	100.00
CDL-C	6	5	100.00
CDL-C	5	5	100.00
CDL-C	4	5	100.00
CDL-C	3	5	100.00
CDL-C	2	5	94.40
CDL-C	11	5	100.00
CDL-C	12	5	100.00
CDL-C	1	5	0.00
CDL-C	9	5	100.00
CDL-C	10	5	100.00
CDL-C	8	5	100.00
CDL-C	7	5	100.00
CDL-C	5	6	100.00
CDL-C	6	6	100.00
CDL-C	4	6	100.00
CDL-C	3	6	100.00
CDL-C	2	6	95.05
CDL-C	11	6	100.00
CDL-C	1	6	0.00
CDL-C	12	6	100.00
CDL-C	9	6	100.00
CDL-C	10	6	100.00
CDL-C	8	6	100.00
CDL-C	7	6	100.00
CDL-C	6	7	100.00
CDL-C	5	7	100.00
CDL-C	4	7	100.00
CDL-C	3	7	100.00
CDL-C	2	7	97.90
CDL-C	1	7	0.15
CDL-C	11	7	100.00
CDL-C	12	7	100.00
CDL-C	9	7	100.00
CDL-C	10	7	100.00
CDL-C	8	7	100.00
CDL-C	7	7	100.00
CDL-C	6	8	100.00
CDL-C	5	8	100.00
CDL-C	4	8	100.00
CDL-C	3	8	100.00
CDL-C	2	8	99.80
CDL-C	1	8	0.40
CDL-C	11	8	100.00
CDL-C	9	8	100.00
CDL-C	12	8	100.00
CDL-C	10	8	100.00
CDL-C	8	8	100.00
CDL-C	7	8	100.00
CDL-C	5	9	100.00
CDL-C	6	9	100.00
CDL-C	4	9	100.00
CDL-C	3	9	100.00
CDL-C	2	9	100.00
CDL-C	1	9	5.10
CDL-C	9	9	100.00
CDL-C	11	9	100.00
CDL-C	12	9	100.00
